ASX Code,Date,Price sens.,Headline
MPR,18/09/2025  3:12 pm,Â,Appendix 4G  11  pages  364.2KB
MPR,18/09/2025  3:11 pm,Â,Corporate Governance Statement 2025  17  pages  515.2KB
MPR,18/09/2025  3:11 pm,Â,Annual Report 2025  71  pages  2.0MB
FSA,18/09/2025  3:10 pm,,FSA Group prices $300 million ABS transaction  1  page  172.4KB
LF1,18/09/2025  3:10 pm,,"La Trobe Australian Credit Fund, 12 Month Term Account  1  page  158.5KB"
MA1,18/09/2025  3:06 pm,Â,Daily Estimate NTA for 17.09.2025  1  page  141.5KB
ATT,18/09/2025  3:05 pm,Â,Corporate Governance Statement and Appendix 4G  28  pages  827.9KB
PRU,18/09/2025  3:02 pm,Â,Update - Dividend/Distribution - PRU  5  pages  17.8KB
MBX,18/09/2025  3:01 pm,,Interim Funding Secured ahead of proposed ASX relisting  2  pages  193.5KB
ATT,18/09/2025  3:00 pm,Â,Altitude Minerals 2025 Annual Report to Shareholders  74  pages  11.0MB
AZY,18/09/2025  2:59 pm,Â,Results of General Meeting  5  pages  1.6MB
ODA,18/09/2025  2:57 pm,Â,Change of Director's Interest Notice - Geoff Jamieson  3  pages  309.2KB
PRU,18/09/2025  2:54 pm,Â,Update - Notification of buy-back - PRU  5  pages  15.7KB
NGS,18/09/2025  2:54 pm,Â,Change in substantial holding  2  pages  47.2KB
AOA,18/09/2025  2:53 pm,Â,Change in substantial holding  4  pages  3.2MB
RHI,18/09/2025  2:49 pm,Â,App 4G - Corporate Governance  11  pages  370.7KB
QAL,18/09/2025  2:49 pm,Â,Notification regarding unquoted securities - QAL  7  pages  22.0KB
RHI,18/09/2025  2:49 pm,Â,Corporate Governance Statement  13  pages  364.0KB
RHI,18/09/2025  2:46 pm,Â,Dividend/Distribution - RHI  4  pages  15.5KB
RHI,18/09/2025  2:45 pm,,FY25 Results Summary and Final Dividend Declared  2  pages  190.6KB
DRX,18/09/2025  2:45 pm,Â,Change of Director's Interest Notice  2  pages  258.2KB
FEX,18/09/2025  2:44 pm,Â,Results of Meeting  3  pages  316.4KB
HCD,18/09/2025  2:42 pm,Â,Change of Director's Interest Notice x 2  5  pages  347.3KB
FBU,18/09/2025  2:39 pm,Â,D&O Ongoing Disclosures - Multiple  13  pages  625.6KB
RHI,18/09/2025  2:37 pm,Â,Annual Report to shareholders  84  pages  13.8MB
QAL,18/09/2025  2:34 pm,Â,Date of AGM and closing date for director nominations  2  pages  90.5KB
RMC,18/09/2025  2:33 pm,Â,Resimac Settles A$1bn Residential Mortgage Backed Securities  2  pages  219.5KB
COB,18/09/2025  2:33 pm,Â,Application for quotation of securities - COB  6  pages  18.8KB
MTO,18/09/2025  2:31 pm,Â,Appendix 3Y - Nikki Thomas  2  pages  192.7KB
IAM,18/09/2025  2:30 pm,,Pause in Trading  1  page  117.3KB
PEN,18/09/2025  2:28 pm,Â,Becoming a substantial holder  7  pages  1.6MB
OB1,18/09/2025  2:28 pm,Â,Results of General Meeting  2  pages  321.0KB
SEG,18/09/2025  2:27 pm,Â,Change of Director's Interest Notice  3  pages  289.8KB
SEG,18/09/2025  2:27 pm,Â,Change of Director's Interest Notice  3  pages  290.5KB
SEG,18/09/2025  2:26 pm,Â,Change of Director's Interest Notice  3  pages  294.0KB
AKM,18/09/2025  2:25 pm,Â,Change in substantial holding  34  pages  2.1MB
SW1,18/09/2025  2:24 pm,Â,Notification of Investor Briefing  1  page  170.0KB
GDG,18/09/2025  2:21 pm,Â,DRP Allocation Price  1  page  99.3KB
MOT,18/09/2025  2:18 pm,Â,Daily Fund Update  1  page  132.8KB
TSL,18/09/2025  2:18 pm,Â,AGM Details & Closing Date for Nominations  1  page  151.6KB
MXT,18/09/2025  2:17 pm,Â,Daily Fund Update  1  page  145.3KB
FL1,18/09/2025  2:14 pm,Â,AGM Details & Closing Date for Nominations  1  page  213.6KB
DPM,18/09/2025  2:07 pm,,Commencement of Trading of DPM CDIs on ASX  1  page  128.5KB
CTW,18/09/2025  2:04 pm,Â,CitiFirst VEU SFIs Dividend Estimated Amount  1  page  105.2KB
MTL,18/09/2025  1:53 pm,Â,Results of Meeting  2  pages  149.7KB
NXD,18/09/2025  1:50 pm,Â,CEO Purchase of Shares  1  page  127.9KB
MEZ,18/09/2025  1:42 pm,Â,D&O Ongoing Disclosure - multiple  11  pages  745.3KB
VGL,18/09/2025  1:37 pm,Â,Change in substantial holding  4  pages  134.8KB
ZEU,18/09/2025  1:29 pm,Â,Appendix 4G & Corporate Governance Statement  24  pages  728.6KB
ZEU,18/09/2025  1:27 pm,Â,Annual Report to shareholders  67  pages  2.7MB
WE1,18/09/2025  1:26 pm,Â,Series 2019-1 WST Trust - Class A Notes  1  page  189.9KB
FGH,18/09/2025  1:23 pm,Â,FGH Receives Final Insurance Settlement Payment  1  page  113.9KB
AQD,18/09/2025  1:22 pm,Â,MD Presentation at Resources Rising Stars Conference  14  pages  4.6MB
WS2,18/09/2025  1:22 pm,Â,Series 2024-2 WST Trust - Class A Notes  1  page  189.5KB
CIW,18/09/2025  1:21 pm,Â,Notification of cessation of securities - CIW  4  pages  14.7KB
CWP,18/09/2025  1:21 pm,Â,Company Secretary Appointment/Resignation  1  page  189.6KB
EXR,18/09/2025  1:18 pm,Â,EXR AGM 2025 Letter  1  page  104.9KB
EXR,18/09/2025  1:18 pm,Â,EXR AGM 2025 Notice of Meeting  41  pages  2.8MB
AGR,18/09/2025  1:15 pm,,Diamond drilling channel sampling deliver high grade gold  26  pages  15.4MB
WTL,18/09/2025  1:13 pm,Â,Corporate Governance Statement  11  pages  333.2KB
QML,18/09/2025  1:13 pm,Â,QMines Commences High-Grade Gold Drilling at Mt Mackenzie  19  pages  2.1MB
BGP,18/09/2025  1:03 pm,Â,Appointment of Independent Non-Executive Director  1  page  116.5KB
AZL,18/09/2025  12:57 pm,Â,Results of Meeting  2  pages  151.2KB
CBL,18/09/2025  12:39 pm,Â,Change in substantial holding - Phoenix  3  pages  220.1KB
GNG,18/09/2025  12:38 pm,Â,Update - Dividend/Distribution - GNG  5  pages  18.7KB
3DA,18/09/2025  12:37 pm,Â,Change of Director's Interest Notice - Alistair Cray  3  pages  316.4KB
A2M,18/09/2025  12:37 pm,Â,2025 Annual Meeting - Closing Date for Director Nominations  1  page  225.6KB
PRN,18/09/2025  12:34 pm,Â,Notification of cessation of securities - PRN  4  pages  14.6KB
PRN,18/09/2025  12:34 pm,Â,Notification regarding unquoted securities - PRN  6  pages  18.5KB
NES,18/09/2025  12:33 pm,Â,Date of AGM and Closing Date for Director Nominations  1  page  134.7KB
PRN,18/09/2025  12:32 pm,Â,Change of Director's Interest Notice  4  pages  506.1KB
MEC,18/09/2025  12:32 pm,Â,MEC Monthly Performance Report August 2025  3  pages  297.0KB
BEO,18/09/2025  12:31 pm,Â,Duplication of Appendix 2A and Appendix 3G  1  page  116.5KB
PCI,18/09/2025  12:27 pm,Â,Daily Net Tangible Asset Statement  1  page  454.5KB
EMB,18/09/2025  12:27 pm,Â,Change of Director's Interest Notice  2  pages  366.1KB
BEO,18/09/2025  12:26 pm,Â,Application for quotation of securities - BEO  5  pages  16.8KB
FIL,18/09/2025  12:26 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL43  32  pages  711.0KB
FIL,18/09/2025  12:26 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL31  33  pages  692.9KB
FIL,18/09/2025  12:25 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL26  30  pages  676.1KB
FIL,18/09/2025  12:24 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL21  31  pages  719.4KB
FIL,18/09/2025  12:23 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL15  33  pages  709.7KB
FIL,18/09/2025  12:22 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL14  31  pages  677.6KB
FIL,18/09/2025  12:22 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL11  32  pages  673.7KB
FIL,18/09/2025  12:21 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL10  34  pages  726.1KB
FIL,18/09/2025  12:20 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL08  30  pages  677.5KB
GCI,18/09/2025  12:20 pm,Â,Net Tangible Asset Backing  1  page  297.5KB
FIL,18/09/2025  12:19 pm,Â,mFund - Annual financial report - 30 June 2025 - FIL07  33  pages  685.0KB
BOD,18/09/2025  12:15 pm,Â,Notification of cessation of securities - BOD  4  pages  14.7KB
WTL,18/09/2025  12:13 pm,Â,WTL Corporate Governance Charter  20  pages  593.2KB
MI6,18/09/2025  12:13 pm,Â,2025 AGM Date & Closing Date for Director Nominations  1  page  216.1KB
WTL,18/09/2025  12:13 pm,Â,Appendix 4G  14  pages  451.5KB
WTL,18/09/2025  12:13 pm,Â,FY2025 Annual Report Announcement  1  page  186.3KB
WTL,18/09/2025  12:12 pm,Â,Annual Report FY2025  31  pages  2.5MB
DHO,18/09/2025  12:12 pm,Â,Product Disclosure Statement Update  42  pages  1.2MB
DPM,18/09/2025  12:08 pm,,Pause in trading  1  page  118.6KB
FHC,18/09/2025  12:07 pm,Â,FHCO - Annual financial report - 30 Jun 2025  31  pages  719.4KB
FII,18/09/2025  12:07 pm,Â,FIIN - Annual financial report - 30 Jun 2025  33  pages  709.7KB
ORG,18/09/2025  12:06 pm,Â,Appendix 3Y  4  pages  357.5KB
FCA,18/09/2025  12:06 pm,Â,FCAP - Annual financial report - 30 Jun 2025  32  pages  711.0KB
FEM,18/09/2025  12:05 pm,Â,FEMX - Annual financial report - 30 Jun 2025  33  pages  716.6KB
FAS,18/09/2025  12:01 pm,Â,FASI - Annual financial report - 30 Jun 2025  34  pages  726.1KB
BUB,18/09/2025  11:59 am,Â,Change of Director's Interest Notice - PJ  2  pages  243.3KB
FRS,18/09/2025  11:43 am,Â,Forrestania Resources - Cleansing Notice  2  pages  349.9KB
WQG,18/09/2025  11:40 am,Â,Update - Dividend/Distribution - WQG  5  pages  18.5KB
VEU,18/09/2025  11:35 am,,Final Distribution Announcement  2  pages  153.9KB
LLL,18/09/2025  11:33 am,,Corporate Update  3  pages  179.2KB
LM8,18/09/2025  11:33 am,,Trading Halt  2  pages  400.1KB
XGL,18/09/2025  11:31 am,Â,Application for quotation of securities - XGL  6  pages  19.5KB
RDM,18/09/2025  11:22 am,Â,Pulkarrimarra Drilling Underway  4  pages  1.5MB
CQE,18/09/2025  11:20 am,,Dividend/Distribution - CQE  4  pages  15.5KB
EOL,18/09/2025  11:20 am,Â,Ceasing to be a substantial holder - BW South Asia  2  pages  209.2KB
HMY,18/09/2025  11:19 am,Â,Change of Director's Interest Notice - David Stevens  3  pages  154.3KB
MIO,18/09/2025  11:19 am,Â,Cleansing Notice  1  page  205.3KB
360,18/09/2025  11:18 am,Â,SEC Form 4  3  pages  111.9KB
HMY,18/09/2025  11:17 am,Â,Change of Director's Interest Notice - Neil Roberts  3  pages  151.9KB
MIO,18/09/2025  11:16 am,Â,Application for quotation of securities - MIO  6  pages  18.8KB
HMY,18/09/2025  11:12 am,Â,Employee share scheme - financial assistance disclosure  2  pages  169.4KB
LM8,18/09/2025  11:11 am,,Pause in Trading  1  page  116.4KB
IIQ,18/09/2025  11:08 am,Â,2025 Annual Report  72  pages  1.6MB
AAR,18/09/2025  11:04 am,Â,Resource Rising Stars Gold Coast Conference Presentation  24  pages  15.7MB
SFX,18/09/2025  11:01 am,Â,2025 Annual Report  86  pages  2.3MB
SFX,18/09/2025  10:59 am,Â,Appendix 4G & 2025 Corporate Governance Statement  21  pages  606.3KB
HMY,18/09/2025  10:57 am,Â,Notification regarding unquoted securities - HMY  6  pages  18.1KB
MMI,18/09/2025  10:57 am,Â,Change of Director's Interest Notice  2  pages  296.4KB
PE5,18/09/2025  10:53 am,Â,Removal from Official List  1  page  116.4KB
PEV,18/09/2025  10:50 am,Â,Removal from Official List  1  page  116.1KB
AGI,18/09/2025  10:48 am,Â,Appendix 3Y Change of Director's Interest Notices X 3  6  pages  336.9KB
SVL,18/09/2025  10:46 am,Â,Cleansing Notice  2  pages  213.1KB
NVA,18/09/2025  10:45 am,Â,Corporate Governance Statement and Appendix 4G  31  pages  918.0KB
IXC,18/09/2025  10:42 am,Â,Notices received under sections 203D(2) and 249D of Corp Act  5  pages  470.0KB
NVA,18/09/2025  10:35 am,Â,Annual Report to shareholders - 30 June 2025  100  pages  6.8MB
MFF,18/09/2025  10:33 am,Â,Notice of 2025 AGM and Annual Report  73  pages  2.4MB
RCM,18/09/2025  10:25 am,Â,Investor Presentation  30  pages  7.6MB
APZ,18/09/2025  10:24 am,Â,Aspen Group- Vale Rupert Smoker  1  page  135.9KB
SVL,18/09/2025  10:23 am,Â,Application for quotation of securities - SVL  6  pages  18.3KB
AR9,18/09/2025  10:21 am,Â,Application for quotation of securities - AR9  6  pages  18.2KB
CGF,18/09/2025  10:20 am,Â,Final 2025 Dividend Reinvestment Plan  1  page  97.2KB
CGF,18/09/2025  10:18 am,Â,Application for quotation of securities - CGF  6  pages  17.8KB
NWS,18/09/2025  10:13 am,Â,Appendix 3C  4  pages  76.4KB
MML,18/09/2025  10:12 am,,Pre-Feasibility Study Update  9  pages  598.4KB
NWS,18/09/2025  10:11 am,Â,Appendix 3C  4  pages  76.4KB
PEN,18/09/2025  10:11 am,Â,Notice of initial substantial holder from BKW  7  pages  437.7KB
