ASX Code,Date,Price sens.,Headline
MA1,20/08/2025  11:09 am,Â,Daily Estimate NTA for 19.08.2025  1  page  145.3KB
ATV,20/08/2025  11:04 am,Â,ATV Investor Presentation  13  pages  1.1MB
PPY,20/08/2025  10:57 am,,Pause in Trading  1  page  118.4KB
EUR,20/08/2025  10:56 am,Â,Appendix 3Y - Tony Sage  3  pages  307.1KB
EUR,20/08/2025  10:56 am,Â,Appendix 3Y - Michael Carter  2  pages  299.8KB
EUR,20/08/2025  10:55 am,Â,Appendix 3Y - Malcolm Day  3  pages  328.7KB
G6M,20/08/2025  10:54 am,Â,Reconvened 2024 AGM - Chairman's Opening Address  2  pages  186.7KB
EUR,20/08/2025  10:52 am,Â,Application for quotation of securities - EUR  6  pages  18.4KB
MGT,20/08/2025  10:51 am,Â,Update - Proposed issue of securities - MGT  11  pages  39.0KB
EUR,20/08/2025  10:51 am,Â,Application for quotation of securities - EUR  6  pages  18.3KB
GTG,20/08/2025  10:51 am,,Quarterly Activities/Appendix 4C Cash Flow Report  9  pages  427.7KB
EUR,20/08/2025  10:50 am,Â,Application for quotation of securities - EUR  6  pages  18.4KB
EUR,20/08/2025  10:49 am,Â,Application for quotation of securities - EUR  6  pages  18.4KB
EUR,20/08/2025  10:48 am,Â,Application for quotation of securities - EUR  7  pages  21.1KB
ECF,20/08/2025  10:47 am,Â,Change in substantial holding  3  pages  282.1KB
ECF,20/08/2025  10:47 am,,Off-market takeover bid - Bidder's statement  73  pages  12.7MB
DNA,20/08/2025  10:45 am,Â,Removal from Official List  1  page  108.6KB
AGI,20/08/2025  10:39 am,,Half Year Results 30.06.25 Teleconference Script  9  pages  306.3KB
AXP,20/08/2025  10:36 am,Â,Disclosure Document - cleansing statement  1  page  201.1KB
AEL,20/08/2025  10:35 am,Â,Change in substantial holding  4  pages  337.9KB
RLG,20/08/2025  10:34 am,Â,Investor Presentation  12  pages  5.3MB
RC1,20/08/2025  10:32 am,,Reinstatement to Quotation  1  page  109.5KB
RC1,20/08/2025  10:32 am,Â,Proposed issue of securities - RC1  5  pages  19.3KB
RC1,20/08/2025  10:32 am,Â,Proposed issue of securities - RC1  6  pages  23.2KB
RC1,20/08/2025  10:32 am,Â,Proposed issue of securities - RC1  6  pages  22.5KB
RC1,20/08/2025  10:32 am,,Strategic JV to Gold Production & District Scale Acquisition  8  pages  559.4KB
GTG,20/08/2025  10:31 am,,FY25 Appendix 4D and Half Year Accounts  22  pages  1.7MB
SND,20/08/2025  10:30 am,Â,SND 2025 Annual Report  96  pages  6.8MB
MYS,20/08/2025  10:30 am,Â,Notification of cessation of securities - MYS  4  pages  14.6KB
WOT,20/08/2025  10:26 am,Â,WOT Market Update  2  pages  967.0KB
SIG,20/08/2025  10:24 am,Â,Sigma 2025 AGM  1  page  156.9KB
WOT,20/08/2025  10:19 am,Â,WOT 2025 Investor Presentation  25  pages  15.0MB
DNA,20/08/2025  10:18 am,Â,Ceasing to be a Substantial Holder  2  pages  123.4KB
WOT,20/08/2025  10:15 am,Â,WOT 2025 Annual Report  60  pages  7.4MB
