ASX Code,Date,Price sens.,Headline
PTM,07/11/2023  5:40 PM,,Notification of cessation of securities - PTM  4  pages  23.9KB
TWE,07/11/2023  5:39 PM,,Change in substantial holding  40  pages  5.3MB
VRS,07/11/2023  5:38 PM,,Application for quotation of securities - VRS  6  pages  27.2KB
CHN,07/11/2023  5:38 PM,,Becoming a substantial holder  45  pages  4.3MB
RMS,07/11/2023  5:38 PM,,Becoming a substantial holder from MQG  30  pages  227.2KB
MQG,07/11/2023  5:38 PM,,Becoming a substantial holder for RMS  30  pages  227.2KB
HLS,07/11/2023  5:33 PM,,Ceasing to be a substantial holder  5  pages  386.0KB
SYR,07/11/2023  5:29 PM,,Becoming a substantial holder  9  pages  634.6KB
SFR,07/11/2023  5:27 PM,,Ceasing to be a substantial holder  5  pages  468.2KB
QML,07/11/2023  5:14 PM,,Change of Director's Interest Notice  3  pages  309.9KB
QML,07/11/2023  5:13 PM,,Change of Director's Interest Notice  3  pages  315.5KB
QML,07/11/2023  5:13 PM,,Change of Director's Interest Notice  4  pages  314.9KB
SXG,07/11/2023  5:12 PM,,Change of Director's Interest Notices x4  8  pages  938.9KB
A11,07/11/2023  5:11 PM,,"8,000m of Additional Resource Extension Drilling Planned  16  pages  2.5MB"
QML,07/11/2023  5:10 PM,,Application for quotation of securities - QML  6  pages  28.9KB
LNW,07/11/2023  5:09 PM,,Statement of CDIs on issue - LNW  2  pages  20.1KB
SLC,07/11/2023  5:04 PM,,Notification regarding unquoted securities - SLC  7  pages  30.4KB
FOR,07/11/2023  5:00 PM,,Ceasing to be a substantial holder for WSP  3  pages  177.5KB
WSP,07/11/2023  5:00 PM,,Ceasing to be a substantial holder from FOR  3  pages  177.5KB
REX,07/11/2023  4:58 PM,,Change of Director's Interest Notice  2  pages  336.7KB
REX,07/11/2023  4:58 PM,,Change of Director's Interest Notice  2  pages  336.6KB
REX,07/11/2023  4:57 PM,,Appendix 2A  19  pages  558.5KB
OCC,07/11/2023  4:57 PM,,Change of Director's Interest Notice - Paul Anderson  2  pages  224.2KB
FIN,07/11/2023  4:55 PM,,Change in substantial holding  3  pages  179.5KB
OCC,07/11/2023  4:53 PM,,Notification regarding unquoted securities - OCC  9  pages  33.9KB
VRS,07/11/2023  4:52 PM,,Notification regarding unquoted securities - VRS  7  pages  30.5KB
FAT,07/11/2023  4:48 PM,,Units on Issue & Monthly Redemptions - October 2023  1  page  170.9KB
CTW,07/11/2023  4:44 PM,,CitiFirst MINIs Strike Changes effective 8 Nov 23  38  pages  3.3MB
SMS,07/11/2023  4:43 PM,,Notification regarding unquoted securities - SMS  9  pages  38.2KB
CTW,07/11/2023  4:41 PM,,CitiFirst Instal MINIs Strike Changes effective 8 Nov 23  14  pages  1.7MB
PGY,07/11/2023  4:41 PM,,Cleansing Notice  1  page  207.6KB
