ASX Code,Date,Price sens.,Headline
PGI,04/08/2026  5:19 pm,Â,Dividend Reinvestment Plan Price  1  page  289.3KB
PGI,04/08/2026  5:18 pm,,Final Distribution Details  2  pages  321.7KB
BEZ,04/08/2026  5:17 pm,Â,Change of Company Secretary  1  page  178.6KB
MQG,04/08/2026  5:14 pm,Â,Ceasing to be a substantial holder for TAH  15  pages  609.9KB
TAH,04/08/2026  5:14 pm,Â,Ceasing to be a substantial holder from MQG  15  pages  609.9KB
GNC,04/08/2026  5:12 pm,Â,Ceasing to be a substantial holder from MQG  16  pages  162.0KB
MQG,04/08/2026  5:12 pm,Â,Ceasing to be a substantial holder for GNC  16  pages  162.0KB
RRL,04/08/2026  5:10 pm,Â,Change in substantial holding from MQG  18  pages  168.6KB
MQG,04/08/2026  5:10 pm,Â,Change in substantial holding for RRL  18  pages  168.6KB
PNI,04/08/2026  5:08 pm,Â,Initial Director's Interest Notice  2  pages  190.0KB
RTH,04/08/2026  5:08 pm,Â,Change in substantial holding  3  pages  181.1KB
PNI,04/08/2026  5:03 pm,Â,Appointment of Executive Director - Matthew Lamb  1  page  255.8KB
ATV,04/08/2026  5:00 pm,Â,ATV Cleansing Notice  1  page  195.2KB
PNI,04/08/2026  4:59 pm,Â,Proposed issue of securities - PNI  5  pages  18.9KB
ATV,04/08/2026  4:59 pm,Â,Application for quotation of securities - ATV  6  pages  18.2KB
AGC,04/08/2026  4:56 pm,Â,Notification regarding unquoted securities - AGC  6  pages  20.2KB
PNI,04/08/2026  4:55 pm,Â,Corporate Sustainability Report  64  pages  7.5MB
BB1,04/08/2026  4:55 pm,Â,Letter to Shareholders & Proxy Form  3  pages  300.4KB
PNI,04/08/2026  4:54 pm,Â,Dividend/Distribution - PNI  5  pages  21.3KB
BB1,04/08/2026  4:54 pm,Â,Notice of Annual General Meeting & Proxy Form  27  pages  520.1KB
EVG,04/08/2026  4:54 pm,Â,Application for quotation of securities - EVG  6  pages  18.7KB
CEL,04/08/2026  4:54 pm,Â,Change in substantial holding  3  pages  287.8KB
BOE,04/08/2026  4:53 pm,Â,Becoming a substantial holder  5  pages  295.1KB
EVG,04/08/2026  4:52 pm,Â,Application for quotation of securities - EVG  6  pages  18.5KB
PNI,04/08/2026  4:51 pm,Â,Corporate governance statement  17  pages  484.8KB
PDI,04/08/2026  4:49 pm,Â,Becoming a substantial holder  5  pages  289.3KB
EVG,04/08/2026  4:49 pm,Â,Application for quotation of securities - EVG  8  pages  23.8KB
PNI,04/08/2026  4:49 pm,Â,Appendix 4G  11  pages  381.6KB
PNI,04/08/2026  4:46 pm,,2026 Financial Highlights and acquisition of AVI by PAM  75  pages  3.5MB
ATG,04/08/2026  4:46 pm,Â,Notification regarding unquoted securities - ATG  6  pages  18.3KB
EVG,04/08/2026  4:46 pm,Â,Cleansing Notice  1  page  222.3KB
FLT,04/08/2026  4:45 pm,Â,Ceasing to be a substantial holder  5  pages  212.9KB
PNI,04/08/2026  4:45 pm,Â,Annual Report to shareholders  138  pages  3.9MB
PIC,04/08/2026  4:44 pm,Â,Daily Net Tangible Asset Statement  1  page  226.8KB
PIC,04/08/2026  4:43 pm,Â,Daily Net Tangible Asset Statement  1  page  226.1KB
EVG,04/08/2026  4:43 pm,Â,Notification of cessation of securities - EVG  4  pages  14.9KB
PNI,04/08/2026  4:39 pm,,Appendix 4E  3  pages  502.7KB
EXT,04/08/2026  4:38 pm,Â,Cleansing Notice  1  page  131.0KB
NOV,04/08/2026  4:36 pm,Â,Resignation of Company Secretary  1  page  328.4KB
BPT,04/08/2026  4:36 pm,Â,Ceasing to be a substantial holder  4  pages  206.4KB
EVG,04/08/2026  4:34 pm,Â,Notification regarding unquoted securities - EVG  8  pages  26.5KB
SCP,04/08/2026  4:33 pm,Â,Results of Meeting  3  pages  326.0KB
