"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"RLF","RLF AGTECH LTD","Materials","21/04/2022",18571696
"RLG","ROOLIFE GROUP LTD","Media & Entertainment","16/11/2016",7225581
"RLT","RENERGEN LIMITED","Energy","06/06/2019",131166718
"RMC","RESIMAC GROUP LTD","Financial Services","19/03/2001",356459931
"RMD","RESMED INC","Health Care Equipment & Services","25/11/1999",36696944529
"RMI","RESOURCE MINING CORPORATION LIMITED","Materials","14/02/1985",16308086
"RML","RESOLUTION MINERALS LTD","Materials","22/09/2017",3771875
"RMS","RAMELIUS RESOURCES LIMITED","Materials","31/03/2003",1841581946
"RMX","RED MOUNTAIN MINING LIMITED","Materials","01/09/2011",8020728
"RMY","RMA GLOBAL LIMITED","Media & Entertainment","05/07/2018",44635411
"RND","RAND MINING LIMITED","Materials","15/08/1985",77635687
"RNE","RENU ENERGY LIMITED","Utilities","12/09/2002",5817358
"RNO","RHINOMED LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2007",11428788
"RNT","RENT.COM.AU LIMITED","Media & Entertainment","26/05/1994",8242710
"RNTN","RENT.COM.AU LIMITED","Media & Entertainment","26/05/1994",8242710
"RNU","RENASCOR RESOURCES LIMITED","Materials","15/12/2010",355517050
"RNX","RENEGADE EXPLORATION LIMITED","Materials","14/11/2006",7497928
"ROC","ROCKETBOOTS LIMITED","Software & Services","07/12/2021",8545390
"ROG","RED SKY ENERGY LIMITED.","Energy","23/05/2007",29162250
"RON","RONIN RESOURCES LTD","Materials","16/12/2021",8101502
"ROO","ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD","Capital Goods","07/12/2017","SUSPENDED"
"RPG","RAPTIS GROUP LIMITED","Real Estate Management & Development","17/07/1986",1460186
"RPL","REGAL PARTNERS LIMITED","Financial Services","21/06/2019",591894816
"RPM","RPM AUTOMOTIVE GROUP LIMITED","Automobiles & Components","10/11/1983",17889835
"RR1","REACH RESOURCES LIMITED","Materials","06/11/2002",19261783
"RRL","REGIS RESOURCES LIMITED","Materials","19/02/1987",1442697123
"RRR","REVOLVER RESOURCES HOLDINGS LTD","Materials","23/09/2021",25962426
"RSG","RESOLUTE MINING LIMITED","Materials","11/01/1979",947427256
"RSH","RESPIRI LIMITED","Health Care Equipment & Services","14/07/2000","SUSPENDED"
"RTG","RTG MINING INC.","Materials","05/06/2014",30473595
"RTH","RAS TECHNOLOGY HOLDINGS LIMITED","Commercial & Professional Services","23/11/2021",43903750
"RTR","RUMBLE RESOURCES LIMITED","Materials","01/07/2011",56552797
"RUL","RPMGLOBAL HOLDINGS LIMITED","Software & Services","27/05/2008",340712221
"RVS","REVASUM INC.","Semiconductors & Semiconductor Equipment","04/12/2018",19572216
"RVT","RICHMOND VANADIUM TECHNOLOGY LIMITED","Materials","13/12/2022",67659166
"RWC","RELIANCE WORLDWIDE CORPORATION LIMITED","Capital Goods","29/04/2016",3128775269
"RWD","REWARD MINERALS LTD","Materials","12/12/1991",20506782
"RWL","RUBICON WATER LIMITED","Technology Hardware & Equipment","02/09/2021",91958531
"RXH","REWARDLE HOLDINGS LIMITED","Media & Entertainment","07/10/2014","SUSPENDED"
"RXL","ROX RESOURCES LIMITED","Materials","27/04/2004",72024081
"RXM","REX MINERALS LIMITED","Materials","20/09/2007",101918014
"RYD","RYDER CAPITAL LIMITED","Not Applic","28/09/2015",83260124
"RZI","RAIZ INVEST LIMITED","Financial Services","21/06/2018",36910959
"S2R","S2 RESOURCES LTD","Materials","19/10/2015",78029489
"S32","SOUTH32 LIMITED","Materials","18/05/2015",14131286732
"S3N","SENSORE LTD.","Class Pend","11/02/2022",7626039
"S66","STAR COMBO PHARMA LIMITED","Household & Personal Products","16/05/2018",17560788
"SAN","SAGALIO ENERGY LIMITED","Energy","15/12/2011",2046601
"SB2","SALTER BROTHERS EMERGING COMPANIES LIMITED","Not Applic","16/06/2021",48542574
"SBM","ST BARBARA LIMITED","Materials","15/05/1969",163594076
"SBR","SABRE RESOURCES LIMITED","Materials","17/12/1987",10500574
"SBW","SHEKEL BRAINWEIGH LTD","Software & Services","20/11/2018",16262860
"SCG","SCENTRE GROUP","Equity Real Estate Investment Trusts (REITs)","25/06/2014",14533059349
"SCL","SCHROLE GROUP LTD","Software & Services","11/11/2013",9348312
"SCN","SCORPION MINERALS LIMITED","Materials","07/03/2007",14234717
"SCT","SCOUT SECURITY LIMITED","Consumer Services","25/08/2017",3486411
"SDF","STEADFAST GROUP LIMITED","Insurance","02/08/2013",6274030107
"SDI","SDI LIMITED","Health Care Equipment & Services","07/11/1985",91526458
"SDR","SITEMINDER LIMITED","Software & Services","08/11/2021",1386333174
"SDV","SCIDEV LTD","Materials","02/05/2002",45552845
"SEC","SPHERIA EMERGING COMPANIES LIMITED","Not Applic","05/12/2017",107068127
"SEG","SPORTS ENTERTAINMENT GROUP LIMITED","Media & Entertainment","28/11/2000",58750206
"SEK","SEEK LIMITED","Media & Entertainment","19/04/2005",8741643463
"SEN","SENETAS CORPORATION LIMITED","Technology Hardware & Equipment","21/06/1984",17837327
"SEQ","SEQUOIA FINANCIAL GROUP LTD","Financial Services","19/09/2000",71769112
"SER","STRATEGIC ENERGY RESOURCES LIMITED","Materials","15/08/1991",5343967
"SES","SECOS GROUP LTD","Materials","21/11/1996",24461011
"SFC","SCHAFFER CORPORATION LIMITED","Automobiles & Components","01/01/1974",244252026
"SFG","SEAFARMS GROUP LIMITED","Food, Beverage & Tobacco","14/06/1990",29019595
"SFM","SANTA FE MINERALS LTD","Materials","07/10/2011",3131208
"SFR","SANDFIRE RESOURCES LIMITED","Materials","04/03/2004",2915611538
"SFX","SHEFFIELD RESOURCES LIMITED","Materials","15/12/2010",231767145
"SGA","SARYTOGAN GRAPHITE LIMITED","Materials","18/07/2022",25114666
"SGC","SACGASCO LIMITED","Energy","11/10/2005",8509410
"SGF","SG FLEET GROUP LIMITED","Commercial & Professional Services","04/03/2014",783145467
"SGI","STEALTH GROUP HOLDINGS LTD","Capital Goods","02/10/2018",23218647
"SGLLV","RICEGROWERS LIMITED","Food, Beverage & Tobacco","08/04/2019",413196541
"SGM","SIMS LIMITED","Materials","21/10/2005",2733916788
"SGP","STOCKLAND","Equity Real Estate Investment Trusts (REITs)","19/02/1987",9906762397
"SGQ","ST GEORGE MINING LIMITED","Materials","16/11/2010",37395289
"SGR","THE STAR ENTERTAINMENT GROUP LIMITED","Consumer Services","06/06/2011",1606461291
"SHA","SHAPE AUSTRALIA CORPORATION LIMITED","Capital Goods","17/12/2021",140261957
"SHE","STONEHORSE ENERGY LIMITED","Energy","24/07/2000",9582441
"SHG","SINGULAR HEALTH GROUP LTD","Health Care Equipment & Services","12/02/2021",5228480
"SHJ","SHINE JUSTICE LTD","Consumer Services","15/05/2013",119550650
"SHL","SONIC HEALTHCARE LIMITED","Health Care Equipment & Services","30/04/1987",14326301197
"SHM","SHRIRO HOLDINGS LIMITED","Consumer Durables & Apparel","23/06/2015",86774103
"SHN","SUNSHINE METALS LIMITED","Materials","25/01/2002",36946245
"SHO","SPORTSHERO LIMITED","Media & Entertainment","12/06/2008",9885325
"SHP","SOUTH HARZ POTASH LTD","Materials","20/01/2017",20296567
"SHV","SELECT HARVESTS LIMITED","Food, Beverage & Tobacco","15/06/1978",410388871
"SI6","SI6 METALS LIMITED","Materials","18/01/2008",11963157
"SIG","SIGMA HEALTHCARE LIMITED","Health Care Equipment & Services","30/10/2002",810346458
"SIH","SIHAYO GOLD LIMITED","Materials","31/03/1988",12204256
"SIO","SIMONDS GROUP LIMITED","Consumer Durables & Apparel","17/11/2014",61184097
"SIQ","SMARTGROUP CORPORATION LTD","Commercial & Professional Services","02/07/2014",1155679020
"SIS","SIMBLE SOLUTIONS LIMITED","Software & Services","22/02/2018",2411803
"SIT","SITE GROUP INTERNATIONAL LIMITED","Consumer Services","21/08/1987",7807471
"SIV","SIV CAPITAL LIMITED","Capital Goods","31/05/2005",8049983
"SIX","SPRINTEX LIMITED","Automobiles & Components","29/05/2008",4913279
"SKC","SKYCITY ENTERTAINMENT GROUP LIMITED","Consumer Services","29/03/1999",1318956038
"SKN","SKIN ELEMENTS LIMITED","Household & Personal Products","06/01/2017",2947430
"SKO","SERKO LIMITED","Software & Services","25/06/2018",476416722
"SKS","SKS TECHNOLOGIES GROUP LIMITED","Capital Goods","01/01/1974",26077347
"SKT","SKY NETWORK TELEVISION LIMITED.","Media & Entertainment","04/07/2005",385750379
"SKY","SKY METALS LIMITED","Materials","11/03/2004",16610331
"SLB","STELAR METALS LIMITED","Class Pend","18/03/2022",16395061
"SLC","SUPERLOOP LIMITED","Telecommunication Services","04/06/2015",336454560
"SLH","SILK LOGISTICS HOLDINGS LIMITED","Transportation","09/07/2021",141815545
"SLM","SOLIS MINERALS LTD.","Materials","24/12/2021",14053981
"SLR","SILVER LAKE RESOURCES LIMITED","Materials","14/11/2007",1042239931
"SLS","SOLSTICE MINERALS LIMITED","Materials","02/05/2022",11031549
"SLX","SILEX SYSTEMS LIMITED","Capital Goods","07/05/1998",762105822
"SLZ","SULTAN RESOURCES LTD","Materials","16/08/2018",2222851
"SM1","SYNLAIT MILK LIMITED","Food, Beverage & Tobacco","25/11/2016",227324927
"SMI","SANTANA MINERALS LIMITED","Materials","31/05/2013",141376049
"SMN","STRUCTURAL MONITORING SYSTEMS PLC","Technology Hardware & Equipment","16/08/2004",81220598
"SMP","SMARTPAY HOLDINGS LIMITED","Financial Services","04/09/2013",309770452
"SMR","STANMORE RESOURCES LIMITED","Materials","09/12/2009",3488385624
"SMS","STAR MINERALS LIMITED","Materials","27/10/2021",2809144
"SNC","SANDON CAPITAL INVESTMENTS LIMITED","Not Applic","23/12/2013",90923774
"SND","SAUNDERS INTERNATIONAL LIMITED","Capital Goods","05/12/2007",103709247
"SNG","SIREN GOLD LIMITED","Materials","07/10/2020",7947590
"SNL","SUPPLY NETWORK LIMITED","Consumer Discretionary Distribution & Retail","10/09/1987",654220466
"SNS","SENSEN NETWORKS LIMITED","Software & Services","31/05/2007",22248067
"SNX","SIERRA NEVADA GOLD INC.","Materials","03/05/2022",6396244
"SNZ","SUMMERSET GROUP HOLDINGS LIMITED","Health Care Equipment & Services","18/07/2013",2103846810
"SOC","SOCO CORPORATION LTD","Software & Services","23/12/2022",32424627
"SOL","WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","Financial Services","21/01/1903",12244029913
"SOM","SOMNOMED LIMITED","Health Care Equipment & Services","27/08/2004",53752741
"SOP","SYNERTEC CORPORATION LIMITED","Commercial & Professional Services","28/05/2013",69039350
"SOR","STRATEGIC ELEMENTS LIMITED","Financial Services","11/08/2011",34860808
"SOV","SOVEREIGN CLOUD HOLDINGS LIMITED","Software & Services","14/12/2020",25115650
"SP3","SPECTUR LIMITED","Technology Hardware & Equipment","01/08/2017",3710734
"SP8","STREAMPLAY STUDIO LIMITED","Media & Entertainment","09/06/1971",9780302
"SPA","SPACETALK LTD","Software & Services","17/07/2001",8824836
"SPD","SOUTHERN PALLADIUM LIMITED","Materials","08/06/2022",29617500
"SPK","SPARK NEW ZEALAND LIMITED","Telecommunication Services","22/08/1991",8887099521
"SPL","STARPHARMA HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/09/2000",53521515
"SPN","SPARC TECHNOLOGIES LIMITED","Materials","03/07/1986",25693702
"SPQ","SUPERIOR RESOURCES LIMITED","Materials","12/11/2007",38525629
"SPR","SPARTAN RESOURCES LIMITED","Materials","11/12/2009",467490942
"SPT","SPLITIT PAYMENTS LTD","Financial Services","29/01/2019",36523346
"SPX","SPENDA LIMITED","Software & Services","29/05/2002",44633791
"SPZ","SMART PARKING LIMITED","Technology Hardware & Equipment","09/01/2007",126127080
"SQ2","BLOCK INC.","Financial Services","20/01/2022",57712242516
"SQX","SQX RESOURCES LIMITED","Materials","20/02/2023",3906250
"SRG","SRG GLOBAL LIMITED","Capital Goods","17/08/2007",341471593
"SRH","SAFEROADS HOLDINGS LIMITED","Transportation","15/12/2005",3371560
"SRI","SIPA RESOURCES LIMITED","Materials","23/08/1990",5703953
"SRJ","SRJ TECHNOLOGIES GROUP PLC","Energy","18/09/2020",13233865
"SRK","STRIKE RESOURCES LIMITED","Materials","07/03/2000",14755000
"SRL","SUNRISE ENERGY METALS LIMITED","Materials","09/11/2007",50978536
"SRN","SUREFIRE RESOURCES NL","Materials","11/06/1999",18367531
"SRR","SARAMA RESOURCES LTD","Materials","02/05/2022",3000521
"SRT","STRATA INVESTMENT HOLDINGS PLC","Materials","27/05/2021",28802008
"SRV","SERVCORP LIMITED","Real Estate Management & Development","06/12/1999",329708300
"SRX","SIERRA RUTILE HOLDINGS LIMITED","Materials","27/07/2022",46666009
"SRY","STORY-I LIMITED","Consumer Discretionary Distribution & Retail","20/01/2015","SUSPENDED"
"SRZ","STELLAR RESOURCES LIMITED","Materials","28/04/2005",9883678
"SSG","SHAVER SHOP GROUP LIMITED","Consumer Discretionary Distribution & Retail","01/07/2016",136252994
"SSH","SSH GROUP LTD","Energy","17/09/2021",10543976
"SSL","SIETEL LIMITED","Real Estate Management & Development","01/01/1974",64219982
"SSM","SERVICE STREAM LIMITED","Capital Goods","09/12/2004",563597081
"SSR","SSR MINING INC.","Materials","17/09/2020",3547713318
"SST","STEAMSHIPS TRADING COMPANY LIMITED","Capital Goods","30/06/1962",389153374
"ST1","SPIRIT TECHNOLOGY SOLUTIONS LTD","Telecommunication Services","22/10/1999",33162212
"STA","STRANDLINE RESOURCES LIMITED","Materials","17/05/2000","SUSPENDED"
"STG","STRAKER LIMITED","Media & Entertainment","22/10/2018",38329204
"STK","STRICKLAND METALS LIMITED","Materials","06/04/2006",268910906
"STM","SUNSTONE METALS LTD","Materials","22/03/2007",46229773
"STN","SATURN METALS LIMITED","Materials","09/03/2018",32582441
"STO","SANTOS LIMITED","Energy","01/10/1954",22019900676
"STP","STEP ONE CLOTHING LIMITED","Consumer Discretionary Distribution & Retail","01/11/2021",144565427
"STX","STRIKE ENERGY LIMITED","Energy","05/08/2004",926843545
"SUH","SOUTHERN HEMISPHERE MINING LIMITED","Materials","05/01/2010",28344302
"SUL","SUPER RETAIL GROUP LIMITED","Consumer Discretionary Distribution & Retail","06/07/2004",3319649550
"SUM","SUMMIT MINERALS LIMITED","Materials","05/08/2022",6075004
"SUN","SUNCORP GROUP LIMITED","Insurance","07/07/1988",17974217403
"SUV","SUVO STRATEGIC MINERALS LIMITED","Materials","17/05/2011",23504880
"SVG","SAVANNAH GOLDFIELDS LIMITED","Materials","02/04/1987",9621131
"SVL","SILVER MINES LIMITED","Materials","19/01/2007",245758125
"SVM","SOVEREIGN METALS LIMITED","Materials","22/01/2007",242091462
"SVR","SOLVAR LIMITED","Financial Services","19/10/2006",226786322
"SVW","SEVEN GROUP HOLDINGS LIMITED","Capital Goods","30/04/2010",11871069416
"SVY","STAVELY MINERALS LIMITED","Materials","07/05/2014",19097005
"SW1","SWIFT NETWORKS GROUP LIMITED","Media & Entertainment","30/06/1994",9698616
"SWF","SELFWEALTH LIMITED","Financial Services","23/11/2017",35326435
"SWM","SEVEN WEST MEDIA LIMITED","Media & Entertainment","09/01/1992",385095641
"SWP","SWOOP HOLDINGS LIMITED","Telecommunication Services","06/10/1988",51011190
"SXE","SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","Capital Goods","28/11/2007",223646268
"SXG","SOUTHERN CROSS GOLD LTD","Materials","16/05/2022",191402248
"SXL","SOUTHERN CROSS MEDIA GROUP LIMITED","Media & Entertainment","17/11/2005",239899149
"SYA","SAYONA MINING LIMITED","Materials","30/03/2004",576424577
"SYM","SYMBIO HOLDINGS LIMITED","Software & Services","18/05/2006",252869900
"SYR","SYRAH RESOURCES LIMITED","Materials","11/09/2007",398779661
"SZL","SEZZLE INC.","Financial Services","30/07/2019",86990110
"T3DDB","333D LIMITED","Commercial & Professional Services","27/12/2006","--"
"T88","TAITON RESOURCES LIMITED","Materials","19/12/2022",10586384
"T92","TERRA URANIUM LIMITED","Energy","08/09/2022",8719620
"TAH","TABCORP HOLDINGS LIMITED","Consumer Services","15/08/1994",1597687692
"TAL","TALIUS GROUP LIMITED","Software & Services","02/06/2006",22861393
"TAM","TANAMI GOLD NL","Materials","11/12/1986",42303494
"TAR","TARUGA MINERALS LIMITED","Materials","07/02/2012",7766295
"TAS","TASMAN RESOURCES LTD","Materials","18/12/2001",3919681
"TBA","TOMBOLA GOLD LTD","Materials","03/05/2012","SUSPENDED"
"TBN","TAMBORAN RESOURCES LIMITED","Energy","02/07/2021",
"TBR","TRIBUNE RESOURCES LIMITED","Materials","04/05/1989",140089766
"TCF","360 CAPITAL MORTGAGE REIT","Not Applic","17/10/2006",20946335
"TCG","TURACO GOLD LIMITED","Materials","22/07/2008",70464000
"TCL","TRANSURBAN GROUP","Transportation","14/03/1996",40332637073
"TCO","TRANSMETRO CORPORATION LIMITED","Consumer Services","17/09/1987",23419862
"TD1","TALI DIGITAL LIMITED","Health Care Equipment & Services","23/09/2004",6590311
"TDO","3D ENERGI LIMITED","Energy","22/05/2007",14064799
"TEE","TOP END ENERGY LIMITED","Energy","04/04/2022",9051250
"TEG","TRIANGLE ENERGY (GLOBAL) LIMITED","Energy","06/01/2006",34397943
"TEK","THORNEY TECHNOLOGIES LTD","Not Applic","10/05/2005",59143064
"TEM","TEMPEST MINERALS LIMITED","Materials","28/03/2017",4091068
"TER","TERRACOM LIMITED","Energy","22/07/2010",288347845
"TFL","TASFOODS LIMITED","Food, Beverage & Tobacco","16/12/1999",11801579
"TG1","TECHGEN METALS LTD","Materials","07/04/2021",8842864
"TG6","TG METALS LIMITED","Materials","26/05/2022",48708665
"TGA","THORN GROUP LIMITED","Consumer Discretionary Distribution & Retail","13/12/2006","SUSPENDED"
"TGF","TRIBECA GLOBAL NATURAL RESOURCES LIMITED","Not Applic","12/10/2018",133946288
"TGH","TERRAGEN HOLDINGS LIMITED","Materials","11/12/2019",5536217
"TGM","THETA GOLD MINES LIMITED","Materials","07/04/2011",91789751
"TGN","TUNGSTEN MINING NL","Materials","17/12/2012",58981070
"TGP","360 CAPITAL GROUP","Financial Services","26/07/2005",127247253
"THL","TOURISM HOLDINGS RENTALS LIMITED","Transportation","02/12/2022",738587518
"THR","THOR ENERGY PLC","Materials","27/09/2006",7801082
"TI1","TOMBADOR IRON LIMITED","Materials","22/11/2004","SUSPENDED"
"TIA","TIAN AN AUSTRALIA LIMITED","Real Estate Management & Development","11/12/1985",20786119
"TIE","TIETTO MINERALS LIMITED","Materials","18/01/2018",694759627
"TIG","TIGERS REALM COAL LIMITED","Materials","29/08/2011",65333512
"TIP","TEAMINVEST PRIVATE GROUP LIMITED","Financial Services","24/05/2019",55652024
"TKL","TRAKA RESOURCES LIMITED","Materials","20/11/2003",3501317
"TKM","TREK METALS LIMITED","Materials","05/07/2007",23942546
"TLC","THE LOTTERY CORPORATION LIMITED","Consumer Services","24/05/2022",10238549834
"TLG","TALGA GROUP LTD","Materials","09/07/2010",332284901
"TLM","TALISMAN MINING LIMITED","Materials","25/11/2005",37664070
"TLS","TELSTRA GROUP LIMITED","Telecommunication Services","17/11/1997",44484545309
"TLX","TELIX PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/11/2017",3188944312
"TMB","TAMBOURAH METALS LTD","Materials","12/08/2021",10367544
"TMG","TRIGG MINERALS LIMITED","Materials","03/10/2019",3372806
"TMK","TMK ENERGY LIMITED","Energy","10/07/2008",45275214
"TML","TIMAH RESOURCES LIMITED","Utilities","16/09/2015",2396514
"TMR","TEMPUS RESOURCES LTD","Materials","15/08/2018",2057537
"TMS","TENNANT MINERALS LIMITED","Materials","17/08/2004",28099036
"TMT","TECHNOLOGY METALS AUSTRALIA LIMITED","Materials","21/12/2016",54671487
"TMX","TERRAIN MINERALS LIMITED","Materials","23/03/2006",6767139
"TMZ","THOMSON RESOURCES LIMITED","Materials","17/12/2010","SUSPENDED"
"TNC","TRUE NORTH COPPER LIMITED","Materials","10/11/2020",63707335
"TNE","TECHNOLOGY ONE LIMITED","Software & Services","08/12/1999",4989360487
"TNY","TINYBEANS GROUP LTD","Media & Entertainment","21/04/2017",12156596
"TOEDA","TORO ENERGY LIMITED","Energy","24/03/2006","--"
"TOK","TOLU MINERALS LIMITED.","Class Pend","10/11/2023",57676724
"TON","TRITON MINERALS LTD","Materials","14/08/2009",35911271
"TOP","THORNEY OPPORTUNITIES LTD","Not Applic","22/03/2000",92560454
